0,1,2,3,4,5,6,7,8,9,10,11,12,13
,ENE.,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.,TOTAL
Delincuencia General,1,1,4,0,6,3,4,11,2,,,,32
Intolerancia Social,6,5,2,3,3,3,5,4,2,,,,33
Intolerancia Familiar,2,2,7,4,7,2,6,5,4,,,,39
Total Homicidios Intencionales,9,8,13,7,16,8,15,20,8,,,,104
,ENE.,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEP.,OCT.,NOV.,DIC.,TOTAL
Delincuencia General,9,3,8,1,7,4,2,3,3,6,3,4,53
Intolerancia Social,2,3,1,3,3,5,6,5,3,11,2,10,54
Intolerancia Familiar,2,7,2,5,7,3,1,8,4,4,2,2,47
Total Homicidios Intencionales,13,13,11,9,17,12,9,16,10,21,7,16,154
,ENE.,FEB.,MAR.,ABR.,MAY.,JUN.,JUL.,AGO.,SEPT.,OCT.,NOV.,DIC.,TOTAL
Delincuencia General,79,71,161,21,11,23,12,12,11,12,7,9,429
Intolerancia Social,1,2,3,1,3,2,4,6,5,6,3,0,36
Intolerancia Familiar,2,3,1,1,4,1,1,1,3,4,5,5,31
Total de Homicidios,82,76,165,23,18,26,17,19,19,22,15,14,496
