Fecha,Esperanza de vida - Mujeres,Esperanza de vida - Hombres,Esperanza de vida
2022,7581,6684,7148
2021,7515,6608,7075
2020,7541,6643,7106
2019,7678,6801,7256
2018,7749,6735,7256
2017,7749,6691,7231
2016,7708,6676,7203
2015,7657,6683,7181
2014,7627,6699,7175
2013,7616,6715,7177
2012,7616,6726,7183
2011,7619,6729,7186
2010,7621,6725,7185
2009,7596,6696,7158
2008,7592,6671,7142
2007,7568,6633,7111
2006,7540,6597,7077
2005,7508,6564,7044
2004,7497,6557,7034
2003,7468,6547,7014
2002,7471,6563,7023
2001,7390,6516,6960
2000,7425,6535,6987
1999,7380,6483,6938
1998,7293,6392,6848
1997,7256,6315,6790
1996,7189,6221,6708
1995,7128,6136,6633
1994,7089,6079,6584
1993,7031,6018,6524
1992,6971,5963,6466
1991,6907,5873,6386
1990,6831,5702,6255
1989,6727,5286,5969
1988,6670,5644,6148
1987,6573,5401,5967
1986,6418,5185,5774
1985,6385,5088,5703
1984,6289,4795,5485
1983,6192,4443,5220
1982,6023,4379,5111
1981,6028,3958,4816
1980,5677,4116,4798
1979,5966,4606,5220
1978,5951,4791,5325
1977,5914,4952,5402
1976,5874,5089,5463
1975,5825,5174,5488
1974,5760,5192,5467
1973,5680,5147,5405
1972,5589,5035,5302
1971,5503,4966,5224
1970,5428,4877,5141
1969,5378,4825,5090
1968,5356,4819,5078
1967,5347,4840,5085
1966,5338,4868,5096
1965,5311,4878,5090
1964,5283,4871,5073
1963,5229,4827,5025
1962,5164,4762,4960
1961,5090,4687,4885
1960,5014,4611,4808
