Año,Mes,Delincuencia General,Intolerancia Social,Intolerancia Familiar,Total Homicidios Intencionales
2024,Enero,1,6,2,9
2024,Febrero,1,5,2,8
2024,Marzo,4,2,7,13
2024,Abril,0,3,4,7
2024,Mayo,6,3,7,16
2024,Junio,3,3,2,8
2024,Julio,4,5,6,15
2023,Enero,9,2,2,13
2023,Febrero,3,3,7,13
2023,Marzo,8,1,2,11
2023,Abril,1,3,5,9
2023,Mayo,7,3,7,17
2023,Junio,4,5,3,12
2023,Julio,2,6,1,9
2022,Enero,79,1,2,82
2022,Febrero,71,2,3,76
2022,Marzo,161,3,1,165
2022,Abril,21,1,1,23
2022,Mayo,11,3,4,18
2022,Junio,23,2,1,26
2022,Julio,12,4,1,17
